origin,destination,distance,name,traffic
126,127,62.34075769150172,Công Trường Dân Chủ,1
127,128,224.3870536215921,Công Trường Dân Chủ,1
128,129,964.7001143734298,Đường Cách Mạng Tháng 8,1
129,130,53.767345572235435,Đường Điện Biên Phủ,1
130,131,685.9702584466185,Hẻm 216 Điện Biên Phủ,1
131,132,131.837181453674,Đường Điện Biên Phủ,1
132,133,19.485420161026045,Hẻm 159 Điện Biên Phủ,1
133,134,41.29894936142596,Đường Điện Biên Phủ,1
134,135,526.0456620657692,Hẻm 127 Điện Biên Phủ,1
135,136,64.87220618418418,Đường Điện Biên Phủ,1
136,137,315.90307563859056,Đường Bùng Binh Điện Biên Phủ,1
137,138,1231.381319928788,Đường Điện Biên Phủ,1
138,17,65.54736618059422,Đường Điện Biên Phủ,1
