origin,destination,distance,name,traffic
163,164,1128.1200087176503,Đường Lý Chính Thắng,1
164,165,86.9266359672019,Đường Lý Chính Thắng,1
165,166,9.479956562437295,Hẻm 150 Lý Chính Thắng,1
166,167,59.22322538572373,Đường Lý Chính Thắng,1
167,168,52.22699078485839,Đường Nam Kỳ Khởi Nghĩa,1
168,169,491.8836696794824,Hẻm 235 Nam Kỳ Khởi Nghĩa,1
169,174,151.8780834725101,Duong Nam Ky Khoi Nghia,1
174,175,110.72146909894289,Đường Nguyễn Văn Trỗi,1
175,176,21.213170879855564,Đường Huỳnh Văn Bánh,1
176,177,18.035277160355403,Hẻm 95 Đường Huỳnh Văn Bánh,1
177,178,17.14552483329867,Đường Huỳnh Văn Bánh,1
178,179,15.032107901519893,Hẻm 72/72 Đường Huỳnh Văn Bánh,1
179,180,20.390897238050282,Hẻm 73/73 Đường Huỳnh Văn Bánh,1
180,181,15.871581180516712,Hẻm 4 Đường Huỳnh Văn Bánh,1
181,182,40.643534212186594,Hẻm 68 Huỳnh Văn Bánh,1
182,183,5.9735259899931705,Hẻm 58 Huỳnh Văn Bánh,1
183,184,54.79816249374716,Hẻm 39/2 Đường Huỳnh Văn Bánh,1
184,185,21.46825328773348,Đường Huỳnh Văn Bánh,1
185,125,45.25639030835429,Hẻm 28 Huỳnh Văn Bánh,1
125,186,38.300794137535775,Hẻm 18 Huỳnh Văn Bánh,1
186,187,88.19884988725704,Hẻm 224 Phan Đình Phùng,1
187,188,45.138268924873984,Đường Phan Đình Phùng,1
188,46,238.77755240635315,Hẻm 270/2 Phan Đình Phùng,1
